SCOPE,AGGREGATION LEVEL,YEAR,DISTRICT NUMBER,DISTRICT NAME,REGION,CHARTER STATUS,ALL ENROLLMENT,AT RISK,BILINGUAL,DYSLEXIC,ECONOMICALLY DISADVANTAGED,EMERGENT BILINGUAL/ENGLISH LEARNER,ESL,FOSTER CARE,GIFTED & TALENTED,HOMELESS,MILITARY CONNECTED,SECTION 504,SPECIAL EDUCATION,TITLE I
STATE,DISTRICT,2022-2023,145902,CENTERVILLE ISD,6,TRADITIONAL ISD/CSD,691,259,0,93,342,22,21,-999,19,35,10,114,80,297
STATE,DISTRICT,2022-2023,228904,CENTERVILLE ISD,6,TRADITIONAL ISD/CSD,147,14,0,10,84,0,0,0,10,0,-999,10,19,147
STATE,DISTRICT,2022-2023,174908,CENTRAL HEIGHTS ISD,7,TRADITIONAL ISD/CSD,1104,243,0,54,445,69,71,0,81,-999,30,90,95,0
STATE,DISTRICT,2022-2023,3907,CENTRAL ISD,7,TRADITIONAL ISD/CSD,1463,607,0,70,932,80,78,-999,88,0,62,126,240,1463
STATE,DISTRICT,2022-2023,101905,CHANNELVIEW ISD,4,TRADITIONAL ISD/CSD,9520,6806,2128,294,8056,4109,1756,14,484,26,24,293,1181,6557
STATE,DISTRICT,2022-2023,103901,CHANNING ISD,16,TRADITIONAL ISD/CSD,161,90,0,-999,113,22,22,-999,-999,0,-999,12,18,161
STATE,DISTRICT,2022-2023,227814,CHAPARRAL STAR ACADEMY,13,OPEN ENROLLMENT CHARTER,372,95,0,-999,20,60,57,0,0,0,0,20,15,0
STATE,DISTRICT,2022-2023,220815,CHAPEL HILL ACADEMY,11,OPEN ENROLLMENT CHARTER,698,131,0,20,509,86,60,0,103,44,-999,32,54,697
STATE,DISTRICT,2022-2023,212909,CHAPEL HILL ISD,7,TRADITIONAL ISD/CSD,3308,2106,459,298,2620,885,364,20,241,41,16,342,544,1743
STATE,DISTRICT,2022-2023,225906,CHAPEL HILL ISD,8,TRADITIONAL ISD/CSD,1061,408,0,100,519,176,162,-999,84,0,0,125,147,1061
STATE,DISTRICT,2022-2023,7901,CHARLOTTE ISD,20,TRADITIONAL ISD/CSD,433,329,0,31,272,26,25,-999,10,0,-999,60,63,433
STATE,DISTRICT,2022-2023,206903,CHEROKEE ISD,15,TRADITIONAL ISD/CSD,139,49,0,14,83,-999,-999,-999,11,-999,11,16,17,139
STATE,DISTRICT,2022-2023,229906,CHESTER ISD,5,TRADITIONAL ISD/CSD,213,72,0,15,131,0,0,-999,-999,0,18,33,19,213
STATE,DISTRICT,2022-2023,249904,CHICO ISD,11,TRADITIONAL ISD/CSD,549,239,0,45,309,79,60,-999,35,24,24,74,83,263
STATE,DISTRICT,2022-2023,38901,CHILDRESS ISD,16,TRADITIONAL ISD/CSD,1005,389,0,37,624,31,31,-999,54,12,24,100,155,1005
STATE,DISTRICT,2022-2023,99902,CHILLICOTHE ISD,9,TRADITIONAL ISD/CSD,202,126,0,23,176,43,43,0,12,0,0,19,49,202
STATE,DISTRICT,2022-2023,73901,CHILTON ISD,12,TRADITIONAL ISD/CSD,553,337,0,32,506,119,99,-999,26,12,-999,27,49,553
STATE,DISTRICT,2022-2023,161920,CHINA SPRING ISD,12,TRADITIONAL ISD/CSD,3010,678,0,320,1040,79,76,-999,248,0,142,514,346,1116
STATE,DISTRICT,2022-2023,174901,CHIRENO ISD,7,TRADITIONAL ISD/CSD,404,142,0,11,267,44,43,-999,38,0,37,27,73,404
STATE,DISTRICT,2022-2023,139905,CHISUM ISD,8,TRADITIONAL ISD/CSD,1179,399,0,185,512,65,59,-999,53,18,89,245,158,1179
STATE,DISTRICT,2022-2023,226901,CHRISTOVAL ISD,15,TRADITIONAL ISD/CSD,613,106,0,30,160,-999,-999,0,28,17,50,21,89,272
STATE,DISTRICT,2022-2023,67902,CISCO ISD,14,TRADITIONAL ISD/CSD,829,266,0,88,451,15,15,0,55,56,35,91,131,593
STATE,DISTRICT,2022-2023,243906,CITY VIEW ISD,9,TRADITIONAL ISD/CSD,1133,549,0,76,831,33,29,-999,56,-999,66,97,231,1129
STATE,DISTRICT,2022-2023,57841,CITYSCAPE SCHOOLS,10,OPEN ENROLLMENT CHARTER,1245,963,0,48,1168,704,0,0,0,0,-999,12,110,1245
STATE,DISTRICT,2022-2023,65901,CLARENDON ISD,16,TRADITIONAL ISD/CSD,434,152,0,28,223,-999,-999,-999,46,-999,0,38,68,434
