SCOPE,AGGREGATION LEVEL,YEAR,DISTRICT NUMBER,DISTRICT NAME,REGION,CHARTER STATUS,ALL ENROLLMENT,AT RISK,BILINGUAL,CTE,DYSLEXIC,ECONOMICALLY DISADVANTAGED,EMERGENT BILINGUAL/ENGLISH LEARNER,ESL,FOSTER CARE,GIFTED & TALENTED,HOMELESS,MILITARY CONNECTED,SPECIAL EDUCATION,TITLE I
STATE,DISTRICT,2019-2020,101903,ALIEF ISD,4,TRADITIONAL ISD/CSD,45300,37780,10026,11457,933,37961,20175,7255,38,2011,795,172,3943,45096
STATE,DISTRICT,2019-2020,101815,ALIEF MONTESSORI COMMUNITY SCHOOL,4,OPEN ENROLLMENT CHARTER,347,282,0,0,0,255,272,273,0,0,0,0,-999,347
STATE,DISTRICT,2019-2020,43901,ALLEN ISD,10,TRADITIONAL ISD/CSD,21880,5095,266,6692,1355,4183,1819,1499,21,3045,41,211,2644,1183
STATE,DISTRICT,2019-2020,22901,ALPINE ISD,18,TRADITIONAL ISD/CSD,1025,430,0,264,27,528,83,49,0,42,10,-999,110,1023
STATE,DISTRICT,2019-2020,37901,ALTO ISD,7,TRADITIONAL ISD/CSD,631,342,0,196,33,458,114,107,-999,38,37,-999,89,631
STATE,DISTRICT,2019-2020,126901,ALVARADO ISD,11,TRADITIONAL ISD/CSD,3663,1734,347,1058,90,2340,723,372,14,268,44,26,294,2551
STATE,DISTRICT,2019-2020,20901,ALVIN ISD,4,TRADITIONAL ISD/CSD,27022,11934,1699,6303,1135,13282,4433,2590,114,1820,378,239,3128,12283
STATE,DISTRICT,2019-2020,249901,ALVORD ISD,11,TRADITIONAL ISD/CSD,738,239,0,256,72,249,29,29,-999,46,0,0,104,362
STATE,DISTRICT,2019-2020,188901,AMARILLO ISD,16,TRADITIONAL ISD/CSD,32436,16171,1339,9542,1425,22016,5001,2778,155,1869,1425,122,4104,22406
STATE,DISTRICT,2019-2020,84804,AMBASSADORS PREPARATORY ACADEMY,4,OPEN ENROLLMENT CHARTER,281,84,0,0,-999,224,0,0,0,19,0,-999,10,281
STATE,DISTRICT,2019-2020,140901,AMHERST ISD,17,TRADITIONAL ISD/CSD,131,81,0,45,-999,114,63,63,0,-999,-999,0,16,131
STATE,DISTRICT,2019-2020,101819,AMIGOS POR VIDA-FRIENDS FOR LIFE P,4,OPEN ENROLLMENT CHARTER,508,441,278,0,-999,501,438,94,0,0,0,0,31,508
STATE,DISTRICT,2019-2020,36901,ANAHUAC ISD,4,TRADITIONAL ISD/CSD,1343,563,0,392,53,722,97,97,-999,61,75,-999,147,986
STATE,DISTRICT,2019-2020,93901,ANDERSON-SHIRO CISD,6,TRADITIONAL ISD/CSD,888,284,0,335,53,369,44,43,0,58,-999,-999,95,888
STATE,DISTRICT,2019-2020,2901,ANDREWS ISD,18,TRADITIONAL ISD/CSD,4359,1830,495,1034,95,2089,576,152,-999,262,64,0,379,4359
STATE,DISTRICT,2019-2020,20902,ANGLETON ISD,4,TRADITIONAL ISD/CSD,6861,4040,778,2304,332,4831,960,394,19,303,165,71,822,4838
STATE,DISTRICT,2019-2020,43902,ANNA ISD,10,TRADITIONAL ISD/CSD,3828,1582,121,1354,231,1886,487,263,18,170,24,83,552,1787
STATE,DISTRICT,2019-2020,127901,ANSON ISD,14,TRADITIONAL ISD/CSD,726,411,0,245,54,467,17,17,20,56,102,14,96,726
STATE,DISTRICT,2019-2020,71906,ANTHONY ISD,19,TRADITIONAL ISD/CSD,843,360,97,177,18,633,214,57,-999,73,-999,-999,89,841
STATE,DISTRICT,2019-2020,110901,ANTON ISD,17,TRADITIONAL ISD/CSD,200,104,0,81,-999,178,10,0,0,-999,0,-999,28,200
STATE,DISTRICT,2019-2020,228905,APPLE SPRINGS ISD,6,TRADITIONAL ISD/CSD,198,46,0,64,18,121,0,0,0,18,0,0,34,198
STATE,DISTRICT,2019-2020,109912,AQUILLA ISD,12,TRADITIONAL ISD/CSD,337,105,0,96,21,186,16,16,-999,28,0,-999,42,337
STATE,DISTRICT,2019-2020,4901,ARANSAS COUNTY ISD,2,TRADITIONAL ISD/CSD,2966,1703,0,889,188,1920,135,135,28,144,184,29,361,2966
STATE,DISTRICT,2019-2020,205901,ARANSAS PASS ISD,2,TRADITIONAL ISD/CSD,1620,750,0,456,80,1157,147,118,13,79,104,15,147,1620
STATE,DISTRICT,2019-2020,5901,ARCHER CITY ISD,9,TRADITIONAL ISD/CSD,503,173,0,231,45,252,-999,-999,-999,31,-999,-999,65,270
STATE,DISTRICT,2019-2020,61910,ARGYLE ISD,11,TRADITIONAL ISD/CSD,3483,692,0,710,212,252,97,95,12,310,0,59,380,21
STATE,DISTRICT,2019-2020,101803,ARISTOI CLASSICAL ACADEMY,4,OPEN ENROLLMENT CHARTER,956,233,0,37,42,219,17,17,0,0,0,-999,96,956
STATE,DISTRICT,2019-2020,220802,ARLINGTON CLASSICS ACADEMY,11,OPEN ENROLLMENT CHARTER,1561,396,0,42,23,315,96,94,0,0,0,23,52,95
STATE,DISTRICT,2019-2020,220901,ARLINGTON ISD,11,TRADITIONAL ISD/CSD,59532,39591,6117,18101,1309,42859,17243,10427,119,5955,1606,590,4989,36386
STATE,DISTRICT,2019-2020,212901,ARP ISD,7,TRADITIONAL ISD/CSD,889,217,0,321,73,503,25,-999,-999,63,-999,-999,84,889
STATE,DISTRICT,2019-2020,21805,ARROW ACADEMY,6,OPEN ENROLLMENT CHARTER,784,335,0,0,-999,624,120,49,-999,-999,11,-999,70,784
STATE,DISTRICT,2019-2020,217901,ASPERMONT ISD,14,TRADITIONAL ISD/CSD,220,116,0,102,10,116,-999,-999,-999,13,15,-999,30,107
STATE,DISTRICT,2019-2020,107901,ATHENS ISD,10,TRADITIONAL ISD/CSD,3136,1947,163,1127,196,2458,805,225,41,112,18,21,414,3136
STATE,DISTRICT,2019-2020,34901,ATLANTA ISD,8,TRADITIONAL ISD/CSD,1828,665,0,633,131,1209,33,33,21,163,69,25,238,1828
STATE,DISTRICT,2019-2020,61907,AUBREY ISD,11,TRADITIONAL ISD/CSD,2593,665,0,801,167,777,107,101,-999,150,35,106,261,1246
STATE,DISTRICT,2019-2020,227825,AUSTIN ACHIEVE PUBLIC SCHOOLS,13,OPEN ENROLLMENT CHARTER,1869,1438,0,194,50,1725,1189,966,-999,0,0,13,182,1869
STATE,DISTRICT,2019-2020,227821,AUSTIN DISCOVERY SCHOOL,13,OPEN ENROLLMENT CHARTER,451,61,0,0,57,79,0,0,-999,0,0,0,53,17
STATE,DISTRICT,2019-2020,227901,AUSTIN ISD,13,TRADITIONAL ISD/CSD,80911,40002,15014,23966,7201,42805,22758,8584,122,8781,927,222,10474,32305
STATE,DISTRICT,2019-2020,196901,AUSTWELL-TIVOLI ISD,3,TRADITIONAL ISD/CSD,138,45,0,33,-999,57,-999,-999,0,-999,-999,0,28,138
STATE,DISTRICT,2019-2020,70901,AVALON ISD,10,TRADITIONAL ISD/CSD,359,114,0,96,21,250,17,17,0,32,-999,0,55,359
STATE,DISTRICT,2019-2020,194902,AVERY ISD,8,TRADITIONAL ISD/CSD,324,131,0,107,28,200,-999,-999,0,20,15,-999,43,324
STATE,DISTRICT,2019-2020,34902,AVINGER ISD,8,TRADITIONAL ISD/CSD,144,14,0,67,-999,113,-999,-999,0,-999,-999,0,13,144
STATE,DISTRICT,2019-2020,161918,AXTELL ISD,12,TRADITIONAL ISD/CSD,791,292,0,238,40,443,13,13,-999,48,19,-999,135,445
STATE,DISTRICT,2019-2020,220915,AZLE ISD,11,TRADITIONAL ISD/CSD,6815,2356,36,2183,358,3252,409,360,26,368,148,130,775,3834
STATE,DISTRICT,2019-2020,30903,BAIRD ISD,14,TRADITIONAL ISD/CSD,279,107,0,96,-999,172,0,0,-999,13,15,0,42,140
STATE,DISTRICT,2019-2020,200901,BALLINGER ISD,15,TRADITIONAL ISD/CSD,906,484,0,270,75,532,16,16,-999,51,-999,34,103,407
STATE,DISTRICT,2019-2020,195902,BALMORHEA ISD,18,TRADITIONAL ISD/CSD,159,74,0,60,0,139,13,12,0,-999,0,10,17,159
STATE,DISTRICT,2019-2020,10902,BANDERA ISD,20,TRADITIONAL ISD/CSD,2291,911,0,782,51,1132,108,104,28,115,37,49,324,1098
STATE,DISTRICT,2019-2020,25901,BANGS ISD,15,TRADITIONAL ISD/CSD,853,274,0,330,70,532,19,17,21,37,-999,21,88,582
STATE,DISTRICT,2019-2020,178913,BANQUETE ISD,2,TRADITIONAL ISD/CSD,893,427,0,263,40,672,23,22,-999,64,0,-999,106,893
STATE,DISTRICT,2019-2020,36902,BARBERS HILL ISD,4,TRADITIONAL ISD/CSD,6258,1874,122,1542,214,1437,225,103,-999,406,-999,140,600,3078
STATE,DISTRICT,2019-2020,14902,BARTLETT ISD,13,TRADITIONAL ISD/CSD,377,159,0,159,10,332,69,25,0,-999,0,-999,39,377
STATE,DISTRICT,2019-2020,15834,BASIS TEXAS,20,OPEN ENROLLMENT CHARTER,2579,603,0,129,15,189,380,319,0,0,12,239,53,0
STATE,DISTRICT,2019-2020,11901,BASTROP ISD,13,TRADITIONAL ISD/CSD,11434,7599,1140,3100,943,7938,3543,1406,50,756,306,80,1368,8090
STATE,DISTRICT,2019-2020,158901,BAY CITY ISD,3,TRADITIONAL ISD/CSD,3699,1968,45,1318,69,2781,566,225,0,53,38,-999,367,3699
STATE,DISTRICT,2019-2020,101847,BEATRICE MAYES INSTITUTE CHARTER S,4,OPEN ENROLLMENT CHARTER,472,30,0,42,0,331,0,0,0,0,0,-999,27,472
STATE,DISTRICT,2019-2020,123910,BEAUMONT ISD,5,TRADITIONAL ISD/CSD,18162,9859,344,4832,775,13146,2360,1739,65,1365,1192,59,1602,17997
STATE,DISTRICT,2019-2020,183901,BECKVILLE ISD,7,TRADITIONAL ISD/CSD,685,192,0,238,54,232,12,12,0,-999,-999,-999,81,0
STATE,DISTRICT,2019-2020,13901,BEEVILLE ISD,2,TRADITIONAL ISD/CSD,3253,1861,0,1210,31,2877,80,71,18,141,15,11,410,3253
STATE,DISTRICT,2019-2020,39904,BELLEVUE ISD,9,TRADITIONAL ISD/CSD,141,37,0,50,17,62,-999,-999,-999,-999,0,-999,20,141
STATE,DISTRICT,2019-2020,91901,BELLS ISD,10,TRADITIONAL ISD/CSD,885,246,0,273,54,326,17,17,0,67,0,0,96,391
STATE,DISTRICT,2019-2020,8901,BELLVILLE ISD,6,TRADITIONAL ISD/CSD,2207,978,29,797,139,985,195,74,-999,252,27,30,283,999
STATE,DISTRICT,2019-2020,14903,BELTON ISD,12,TRADITIONAL ISD/CSD,12186,4993,193,2798,460,5424,748,335,70,1152,241,919,1695,3869
STATE,DISTRICT,2019-2020,125902,BEN BOLT-PALITO BLANCO ISD,2,TRADITIONAL ISD/CSD,521,340,0,212,30,400,21,21,0,30,0,0,55,521
STATE,DISTRICT,2019-2020,66901,BENAVIDES ISD,2,TRADITIONAL ISD/CSD,293,144,0,151,-999,247,13,13,0,18,0,0,41,293
STATE,DISTRICT,2019-2020,138904,BENJAMIN ISD,9,TRADITIONAL ISD/CSD,124,32,0,33,10,94,-999,-999,-999,-999,0,0,14,0
STATE,DISTRICT,2019-2020,101870,BETA ACADEMY,4,OPEN ENROLLMENT CHARTER,885,385,0,38,-999,601,193,26,0,0,19,-999,72,885
STATE,DISTRICT,2019-2020,152806,BETTY M CONDRA SCHOOL FOR EDUCATIO,17,OPEN ENROLLMENT CHARTER,64,42,0,0,-999,47,0,0,0,0,-999,-999,18,0
STATE,DISTRICT,2019-2020,15809,BEXAR COUNTY ACADEMY,20,OPEN ENROLLMENT CHARTER,355,305,24,0,17,353,87,62,-999,0,13,-999,33,354
STATE,DISTRICT,2019-2020,187901,BIG SANDY ISD,6,TRADITIONAL ISD/CSD,503,180,0,178,56,251,0,0,-999,39,0,-999,67,503
STATE,DISTRICT,2019-2020,230901,BIG SANDY ISD,7,TRADITIONAL ISD/CSD,672,311,0,237,35,455,22,22,-999,38,51,-999,98,672
STATE,DISTRICT,2019-2020,114901,BIG SPRING ISD,18,TRADITIONAL ISD/CSD,3984,1887,26,1336,201,2404,184,47,12,166,14,25,557,3883
STATE,DISTRICT,2019-2020,193801,BIG SPRINGS CHARTER SCHOOL,20,OPEN ENROLLMENT CHARTER,223,183,0,76,-999,190,10,0,101,0,10,0,106,223
STATE,DISTRICT,2019-2020,220902,BIRDVILLE ISD,11,TRADITIONAL ISD/CSD,23576,9824,1909,6915,1652,13942,5284,2903,80,2133,159,248,2517,12939
STATE,DISTRICT,2019-2020,178902,BISHOP CISD,2,TRADITIONAL ISD/CSD,1602,682,0,513,84,1040,68,66,11,94,10,83,227,1602
STATE,DISTRICT,2019-2020,177903,BLACKWELL CISD,14,TRADITIONAL ISD/CSD,164,51,0,70,18,83,-999,-999,0,14,0,-999,26,0
STATE,DISTRICT,2019-2020,16902,BLANCO ISD,13,TRADITIONAL ISD/CSD,1036,345,0,375,50,463,89,89,0,76,-999,-999,134,444
STATE,DISTRICT,2019-2020,116915,BLAND ISD,10,TRADITIONAL ISD/CSD,726,223,0,347,15,391,115,109,0,62,33,-999,81,482
STATE,DISTRICT,2019-2020,25904,BLANKET ISD,15,TRADITIONAL ISD/CSD,143,58,0,74,-999,74,-999,-999,-999,-999,-999,-999,17,143
STATE,DISTRICT,2019-2020,101875,BLOOM ACADEMY CHARTER SCHOOL,4,OPEN ENROLLMENT CHARTER,41,27,0,0,0,31,0,0,0,0,-999,0,0,0
STATE,DISTRICT,2019-2020,34909,BLOOMBURG ISD,8,TRADITIONAL ISD/CSD,276,130,0,125,15,216,-999,-999,-999,0,0,-999,20,276
STATE,DISTRICT,2019-2020,175902,BLOOMING GROVE ISD,12,TRADITIONAL ISD/CSD,942,367,0,273,44,573,138,128,-999,62,11,-999,88,445
STATE,DISTRICT,2019-2020,235901,BLOOMINGTON ISD,3,TRADITIONAL ISD/CSD,836,394,0,259,29,658,153,88,-999,45,24,-999,130,834
STATE,DISTRICT,2019-2020,43917,BLUE RIDGE ISD,10,TRADITIONAL ISD/CSD,921,299,0,262,79,481,87,87,-999,58,0,0,113,914
STATE,DISTRICT,2019-2020,72904,BLUFF DALE ISD,11,TRADITIONAL ISD/CSD,232,55,0,63,36,81,-999,-999,-999,16,0,13,17,230
STATE,DISTRICT,2019-2020,109913,BLUM ISD,12,TRADITIONAL ISD/CSD,369,170,0,128,31,224,-999,-999,-999,19,50,-999,51,369
STATE,DISTRICT,2019-2020,123807,BOB HOPE SCHOOL,5,OPEN ENROLLMENT CHARTER,1943,962,0,499,26,1768,896,0,0,0,0,-999,74,1942
STATE,DISTRICT,2019-2020,130901,BOERNE ISD,20,TRADITIONAL ISD/CSD,9579,2459,526,3810,573,1695,513,228,23,761,23,395,1091,251
STATE,DISTRICT,2019-2020,116916,BOLES ISD,10,TRADITIONAL ISD/CSD,534,173,0,153,28,283,22,18,-999,32,38,31,68,534
STATE,DISTRICT,2019-2020,241901,BOLING ISD,3,TRADITIONAL ISD/CSD,1153,382,0,350,31,629,73,56,-999,62,31,-999,100,1153
STATE,DISTRICT,2019-2020,74903,BONHAM ISD,10,TRADITIONAL ISD/CSD,1874,843,81,418,139,1316,267,81,13,100,38,11,246,1873
STATE,DISTRICT,2019-2020,148901,BOOKER ISD,16,TRADITIONAL ISD/CSD,371,208,0,147,-999,258,130,41,-999,14,24,0,33,371
STATE,DISTRICT,2019-2020,17901,BORDEN COUNTY ISD,17,TRADITIONAL ISD/CSD,207,41,0,93,-999,64,-999,-999,-999,-999,0,0,17,207
STATE,DISTRICT,2019-2020,117901,BORGER ISD,16,TRADITIONAL ISD/CSD,2607,1295,113,662,158,1510,272,80,11,136,0,18,328,1850
STATE,DISTRICT,2019-2020,161923,BOSQUEVILLE ISD,12,TRADITIONAL ISD/CSD,739,135,0,212,44,309,24,22,-999,65,0,-999,106,739
STATE,DISTRICT,2019-2020,185901,BOVINA ISD,16,TRADITIONAL ISD/CSD,471,285,0,98,16,408,124,123,0,15,11,0,47,471
STATE,DISTRICT,2019-2020,169901,BOWIE ISD,9,TRADITIONAL ISD/CSD,1668,896,0,672,185,847,113,91,17,125,12,31,210,1668
STATE,DISTRICT,2019-2020,249902,BOYD ISD,11,TRADITIONAL ISD/CSD,1305,637,0,513,65,537,56,50,-999,43,18,13,112,682
STATE,DISTRICT,2019-2020,180901,BOYS RANCH ISD,16,TRADITIONAL ISD/CSD,312,240,0,176,20,233,-999,-999,-999,22,0,0,54,312
STATE,DISTRICT,2019-2020,136901,BRACKETT ISD,20,TRADITIONAL ISD/CSD,572,246,0,221,-999,334,25,24,0,41,-999,17,81,572
STATE,DISTRICT,2019-2020,160901,BRADY ISD,15,TRADITIONAL ISD/CSD,1060,429,0,304,74,701,37,31,-999,36,0,-999,173,1060
STATE,DISTRICT,2019-2020,8903,BRAZOS ISD,6,TRADITIONAL ISD/CSD,851,474,0,255,60,549,149,108,65,37,15,-999,124,336
STATE,DISTRICT,2019-2020,213801,BRAZOS RIVER CHARTER SCHOOL,11,OPEN ENROLLMENT CHARTER,242,183,0,64,16,160,0,0,-999,0,0,-999,46,242
STATE,DISTRICT,2019-2020,21803,BRAZOS SCHOOL FOR INQUIRY & CREATI,6,OPEN ENROLLMENT CHARTER,375,217,0,0,-999,364,135,130,-999,0,-999,-999,36,238
STATE,DISTRICT,2019-2020,20905,BRAZOSPORT ISD,4,TRADITIONAL ISD/CSD,12158,5450,803,3979,402,6993,1530,686,10,1193,295,33,1241,7275
STATE,DISTRICT,2019-2020,215901,BRECKENRIDGE ISD,14,TRADITIONAL ISD/CSD,1456,800,0,504,98,890,120,104,0,78,64,0,184,796
STATE,DISTRICT,2019-2020,198901,BREMOND ISD,6,TRADITIONAL ISD/CSD,500,123,0,157,37,275,15,15,-999,20,-999,-999,47,259
STATE,DISTRICT,2019-2020,239901,BRENHAM ISD,6,TRADITIONAL ISD/CSD,5100,2260,152,1640,231,2938,601,400,-999,333,29,11,673,1795
STATE,DISTRICT,2019-2020,181901,BRIDGE CITY ISD,5,TRADITIONAL ISD/CSD,3072,860,15,895,99,1150,162,100,11,64,75,22,301,3072
STATE,DISTRICT,2019-2020,249903,BRIDGEPORT ISD,11,TRADITIONAL ISD/CSD,2077,1102,241,534,100,1340,587,270,14,90,81,14,250,1480
STATE,DISTRICT,2019-2020,57851,BRIDGEWAY PREPARATORY ACADEMY,10,OPEN ENROLLMENT CHARTER,81,17,0,0,-999,42,12,-999,0,0,-999,0,14,0
STATE,DISTRICT,2019-2020,203902,BROADDUS ISD,7,TRADITIONAL ISD/CSD,384,163,0,136,-999,296,18,18,-999,39,-999,-999,69,384
STATE,DISTRICT,2019-2020,184909,BROCK ISD,11,TRADITIONAL ISD/CSD,1606,327,0,500,112,179,27,27,-999,119,-999,38,131,417
STATE,DISTRICT,2019-2020,41901,BRONTE ISD,15,TRADITIONAL ISD/CSD,242,50,0,93,15,111,-999,-999,0,18,-999,-999,24,241
STATE,DISTRICT,2019-2020,121902,BROOKELAND ISD,5,TRADITIONAL ISD/CSD,388,119,0,101,63,255,0,0,-999,-999,0,-999,51,386
STATE,DISTRICT,2019-2020,25908,BROOKESMITH ISD,15,TRADITIONAL ISD/CSD,155,65,0,68,-999,83,0,0,11,-999,0,-999,23,147
STATE,DISTRICT,2019-2020,15830,BROOKS ACADEMIES OF TEXAS,20,OPEN ENROLLMENT CHARTER,3306,1210,0,883,113,2439,223,213,-999,247,0,110,422,3303
STATE,DISTRICT,2019-2020,24901,BROOKS COUNTY ISD,1,TRADITIONAL ISD/CSD,1506,900,0,412,16,1267,35,32,-999,42,26,-999,188,1503
STATE,DISTRICT,2019-2020,223901,BROWNFIELD ISD,17,TRADITIONAL ISD/CSD,1671,946,0,401,54,1340,129,128,11,54,115,-999,176,1671
STATE,DISTRICT,2019-2020,107902,BROWNSBORO ISD,7,TRADITIONAL ISD/CSD,2708,1173,0,861,240,1483,132,125,15,163,-999,25,366,2708
STATE,DISTRICT,2019-2020,31901,BROWNSVILLE ISD,1,TRADITIONAL ISD/CSD,43028,29132,9590,14191,2524,38505,15535,4766,179,4988,1456,200,5760,42366
STATE,DISTRICT,2019-2020,25902,BROWNWOOD ISD,15,TRADITIONAL ISD/CSD,3564,1719,0,1256,237,2266,122,119,84,256,39,67,385,3564
STATE,DISTRICT,2019-2020,161919,BRUCEVILLE-EDDY ISD,12,TRADITIONAL ISD/CSD,643,244,0,208,47,403,12,12,0,65,13,-999,97,429
STATE,DISTRICT,2019-2020,21902,BRYAN ISD,6,TRADITIONAL ISD/CSD,16167,11299,1884,4310,612,12443,4347,1153,28,1587,422,52,1963,11171
STATE,DISTRICT,2019-2020,119901,BRYSON ISD,9,TRADITIONAL ISD/CSD,256,94,0,86,10,140,-999,-999,0,14,-999,0,27,256
STATE,DISTRICT,2019-2020,166907,BUCKHOLTS ISD,6,TRADITIONAL ISD/CSD,125,16,0,51,-999,98,-999,-999,0,-999,-999,0,16,125
STATE,DISTRICT,2019-2020,186901,BUENA VISTA ISD,18,TRADITIONAL ISD/CSD,253,36,0,112,0,121,32,32,0,23,0,0,12,253
STATE,DISTRICT,2019-2020,145901,BUFFALO ISD,6,TRADITIONAL ISD/CSD,951,416,0,350,35,485,182,176,0,43,-999,0,76,951
STATE,DISTRICT,2019-2020,212902,BULLARD ISD,7,TRADITIONAL ISD/CSD,2666,933,0,756,89,878,64,64,20,156,-999,29,328,1489
STATE,DISTRICT,2019-2020,121903,BUNA ISD,5,TRADITIONAL ISD/CSD,1513,686,0,553,58,631,10,10,-999,105,33,-999,199,712
STATE,DISTRICT,2019-2020,243901,BURKBURNETT ISD,9,TRADITIONAL ISD/CSD,3263,1349,0,914,174,1568,64,58,-999,201,84,588,454,3263
STATE,DISTRICT,2019-2020,176901,BURKEVILLE ISD,5,TRADITIONAL ISD/CSD,253,109,0,75,20,209,0,0,0,13,10,-999,38,253
STATE,DISTRICT,2019-2020,126902,BURLESON ISD,11,TRADITIONAL ISD/CSD,12810,5354,265,3681,652,4647,793,490,45,881,82,337,1369,5072
STATE,DISTRICT,2019-2020,27903,BURNET CISD,13,TRADITIONAL ISD/CSD,3248,1416,61,873,263,1848,269,205,24,110,-999,65,490,2352
STATE,DISTRICT,2019-2020,71801,BURNHAM WOOD CHARTER SCHOOL DISTRI,19,OPEN ENROLLMENT CHARTER,1079,584,228,251,16,595,403,149,0,0,0,33,62,1078
STATE,DISTRICT,2019-2020,239903,BURTON ISD,6,TRADITIONAL ISD/CSD,479,144,0,183,36,253,31,22,-999,24,0,0,48,275
STATE,DISTRICT,2019-2020,188904,BUSHLAND ISD,16,TRADITIONAL ISD/CSD,1433,398,0,547,157,290,13,13,-999,121,23,30,193,476
STATE,DISTRICT,2019-2020,109902,BYNUM ISD,12,TRADITIONAL ISD/CSD,204,79,0,89,17,111,-999,-999,0,-999,22,0,41,204
STATE,DISTRICT,2019-2020,116901,CADDO MILLS ISD,10,TRADITIONAL ISD/CSD,1914,609,0,651,199,582,68,68,-999,63,14,36,212,956
STATE,DISTRICT,2019-2020,178903,CALALLEN ISD,2,TRADITIONAL ISD/CSD,4090,1365,0,1103,96,2219,113,110,10,283,23,53,523,1930
STATE,DISTRICT,2019-2020,26901,CALDWELL ISD,6,TRADITIONAL ISD/CSD,1737,666,20,497,119,972,190,49,0,88,12,-999,171,1222
STATE,DISTRICT,2019-2020,29901,CALHOUN COUNTY ISD,3,TRADITIONAL ISD/CSD,3840,1903,100,1347,107,2353,486,369,-999,286,203,178,358,2754
STATE,DISTRICT,2019-2020,49905,CALLISBURG ISD,11,TRADITIONAL ISD/CSD,1158,260,0,360,81,529,35,34,-999,49,-999,-999,146,1158
STATE,DISTRICT,2019-2020,198902,CALVERT ISD,6,TRADITIONAL ISD/CSD,142,30,0,66,0,132,10,-999,0,-999,0,0,19,140
STATE,DISTRICT,2019-2020,101837,CALVIN NELMS CHARTER SCHOOLS,4,OPEN ENROLLMENT CHARTER,314,93,0,239,-999,146,13,13,0,0,0,23,22,0
